"CCSBT Registration Number","Vessel Group","Vessel Name","Flag","Authorising Entity","Callsign","Vessel Registration Number","IMO","Tonnage","Vessel Type","Gear Type","Authorisation From","Authorisation To"
"FV00108","Fishing","HUNG SHING 212","Taiwan, Fishing Entity of","Taiwan, Fishing Entity of","BI2348","CT7-0348","8985359","722.0","Longliners","Longline","01/04/2016","30/09/2017"
"FV00067","Fishing","HWA HUNG 202","Taiwan, Fishing Entity of","Taiwan, Fishing Entity of","BH3091","CT6-1091","8648729","370.8","Longliners","Longline","01/04/2016","30/09/2017"
"FV04319","Fishing","ICHI","New Zealand","New Zealand","ZME2183","900828","","86.0","Longliners","Longline","01/01/2016","31/12/2016"
"FV04521","Fishing","ILHA BRAVA","Portugal","Portugal","CSPI","L-3-N","","453.0","Longliners","Longline","01/01/2008","31/12/2020"
"FV04555","Fishing","ILLA GAVEIRA","Spain","Spain","ECCE","UNKNOWN","9098268","378.3","Longliners","Longline","01/01/2016","31/12/2017"
"FV01295","Fishing","INDEPENDENCE","Australia","Australia","UNKNOWN","LXF","8104060","269.0","Multipurpose vessels","Unspecified Method","04/01/2016","30/11/2016"
"FV04364","Fishing","INDIRA JEAN","Australia","Australia","UNKNOWN","FWGA-T","","180.0","Multipurpose vessels","Unspecified Method","01/12/2015","30/11/2016"
"FV04504","Fishing","INFANTE DOM HENRIQUE","Portugal","Portugal","CUAB","LG-1334-C","","225.0","Longliners","Longline","01/01/2008","31/12/2020"
"FV06191","Fishing","INTAN LAUT - II","Indonesia","Indonesia","YEB. 5520","28 NO.2489/BC","","28.0","Longliners","Longline","11/02/2015","24/04/2016"
"FV04616","Fishing","INTERSEA 22","South Africa","South Africa","ZR6446","CTA746","","126.3","Longliners","Longline","01/02/2016","31/01/2017"
"FV05984","Fishing","IRVINGA","New Zealand","New Zealand","ZMMA","901187","","90.4","Trawlers","Mid-water Trawl","01/01/2016","31/12/2016"
"FV02629","Fishing","JACOB","New Zealand","New Zealand","ZM2007","63150","","10.0","Multipurpose vessels","Unspecified Method","01/01/2016","31/12/2016"
"FV00125","Fishing","JAIN HSUAN 202","Taiwan, Fishing Entity of","Taiwan, Fishing Entity of","BI2507","CT7-0507","8649694","514.0","Longliners","Longline","01/04/2016","30/09/2017"
"FV02256","Fishing","JAY CATHERINE","New Zealand","New Zealand","ZM8696","2082","","80.8","Longliners","Longline","01/01/2016","31/12/2016"
