"CCSBT Registration Number","Vessel Group","Vessel Name","Flag","Authorising Entity","Callsign","Vessel Registration Number","IMO","Tonnage","Vessel Type","Gear Type","Authorisation From","Authorisation To"
"FV04573","Fishing","NOVO XEIXAL","Spain","Spain","EANM","UNKNOWN","9148685","178.0","Longliners","Longline","01/01/2016","31/12/2017"
"FV04575","Fishing","NUEVO JOSMARU","Spain","Spain","EAOS","UNKNOWN","9221451","254.8","Longliners","Longline","01/01/2016","31/12/2017"
"FV04577","Fishing","NUEVO PLEAMAR","Spain","Spain","ECBM","UNKNOWN","9329057","359.8","Longliners","Longline","01/01/2016","31/12/2017"
"FV04579","Fishing","O'COVELO","Spain","Spain","EDXO","UNKNOWN","8601886","130.4","Longliners","Longline","01/01/2016","31/12/2017"
"FV05634","Fishing","OCEAN DAWN","New Zealand","New Zealand","ZMSL","63345","","1 899.0","Trawlers","Mid-water Trawl","01/01/2016","31/12/2016"
"FV01469","Fishing","OCEAN DYNASTY","Australia","Australia","UNKNOWN","LFB10575","8003618","188.0","Purse seiners","Purse Seine","01/12/2015","30/11/2016"
"FV03314","Fishing","OCEANA","New Zealand","New Zealand","ZM6847","7556","","30.6","Longliners","Longline","01/01/2016","31/12/2016"
"FV05763","Fishing","OCEANA ROCKET","South Africa","South Africa","ZR2530","CTA151","","83.6","Longliners","Longline","01/02/2016","31/01/2017"
"FV04374","Fishing","OLIVE SKYE","Australia","Australia","UNKNOWN","O691","9240225","260.0","Multipurpose vessels","Unspecified Method","01/12/2015","30/11/2016"
"FV00145","Fishing","ORYONG NO.353","Korea, Republic of","Korea, Republic of","DTAN3","9704003-6260000","8703440","386.0","Longliners","Longline","11/04/2012","10/04/2017"
"FV00146","Fishing","ORYONG NO.355","Korea, Republic of","Korea, Republic of","DTBK6","0205002-6260008","8804062","380.0","Longliners","Longline","17/05/2012","16/05/2017"
"FV04458","Fishing","ORYONG NO.373","Korea, Republic of","Korea, Republic of","DTBU4","0709001-6261108","9159139","441.0","Longliners","Longline","07/09/2012","06/09/2017"
"FV04493","Fishing","ORYONG NO.801","Korea, Republic of","Korea, Republic of","DTBU7","0805001-6261104","8909604","387.0","Longliners","Longline","09/06/2013","08/06/2018"
"FV04527","Fishing","PARALELO","Portugal","Portugal","CUOY","A-3239-C","","221.0","Longliners","Longline","01/01/2008","31/12/2020"
"FV03898","Fishing","PATRIARCH","New Zealand","New Zealand","ZM3092","900656","","70.0","Trollers","Troll","01/01/2016","31/12/2016"
"FV06317","Fishing","PATRICIA NORES","Spain","Spain","EDHP","UNKNOWN","8120521","665.0","Trawlers","Mid-water Trawl","01/01/2016","31/12/2017"
"FV04508","Fishing","PAULA FILIPA","Portugal","Portugal","CUHE 7","PE-2139-C","","197.0","Longliners","Longline","01/01/2008","31/12/2020"
"FV06334","Fishing","PELAGIC","Australia","Australia","VZ54640","S233","","18.0","Other liners","Handline","04/04/2016","30/11/2016"
"FV06197","Fishing","PELANGI","Indonesia","Indonesia","YEB 4839","29 NO.1055/DDA","","29.0","Longliners","Longline","12/08/2015","09/10/2016"
"FV06042","Fishing","PELANGI SAMUDRA - 3","Indonesia","Indonesia","YEB. 4916","29 NO.4737/BC","","29.0","Longliners","Longline","24/05/2015","13/06/2016"
"FV06041","Fishing","PELANGI SAMUDRA 2","Indonesia","Indonesia","YEB 4461","29 NO. 4738/BC","","29.0","Longliners","Longline","24/03/2015","07/05/2016"
"FV06137","Fishing","PERINTIS JAYA - 11","Indonesia","Indonesia","YEA 5995","14 NO.1807/PD","","14.0","Longliners","Longline","03/03/2015","07/05/2016"
"FV06138","Fishing","PERINTIS JAYA - 12","Indonesia","Indonesia","YEA 5304","28 NO. 1808/PD","","28.0","Longliners","Longline","03/03/2015","07/05/2016"
"FV06043","Fishing","PERINTIS JAYA - 21","Indonesia","Indonesia","YEA 4721","28 NO. 1816/PD","","28.0","Longliners","Longline","03/03/2015","20/05/2016"
"FV06140","Fishing","PERINTIS JAYA - 25","Indonesia","Indonesia","YEA 5326","28 NO. 1809/PD","","28.0","Longliners","Longline","03/03/2015","20/05/2016"
"FV06141","Fishing","PERINTIS JAYA - 26","Indonesia","Indonesia","YEA 4551","28 NO. 1817/PD","","28.0","Longliners","Longline","03/03/2015","20/05/2016"
"FV06044","Fishing","PERINTIS JAYA - 27","Indonesia","Indonesia","YEA 4673","28 NO. 1818/PD","","28.0","Longliners","Longline","03/03/2015","20/05/2016"
"FV06148","Fishing","PERINTIS JAYA - 273","Indonesia","Indonesia","YEA 5936","30 NO. 1810/PD","","29.0","Longliners","Longline","03/03/2015","07/05/2016"
"FV06142","Fishing","PERINTIS JAYA - 28","Indonesia","Indonesia","YEA 4710","28 NO. 1819/PD","","28.0","Longliners","Longline","03/03/2015","20/05/2016"
"FV06143","Fishing","PERINTIS JAYA - 31","Indonesia","Indonesia","UNKNOWN","29 NO. 1864/PD","","29.0","Longliners","Longline","30/06/2015","24/09/2016"
"FV06045","Fishing","PERINTIS JAYA - 37","Indonesia","Indonesia","UNKNOWN","30 NO. 1865/PD","","30.0","Longliners","Longline","30/06/2015","24/09/2016"
"FV06269","Fishing","PERINTIS JAYA - 38","Indonesia","Indonesia","YEB. 5473","29 NO. 2129/PD","","29.0","Longliners","Longline","23/04/2015","21/07/2016"
"FV06144","Fishing","PERINTIS JAYA - 46","Indonesia","Indonesia","YEB 5468","30 NO. 1866/PD","","30.0","Longliners","Longline","30/06/2015","24/09/2016"
"FV06246","Fishing","PERINTIS JAYA - 47","Indonesia","Indonesia","YEB. 5469","GT. 29 NO. 2077/PD","","29.0","Longliners","Longline","15/07/2014","15/07/2016"
"FV06274","Fishing","PERINTIS JAYA - 49","Indonesia","Indonesia","YEB 5470","29 NO. 2078/PD","","29.0","Longliners","Longline","04/01/2016","15/07/2016"
"FV06145","Fishing","PERINTIS JAYA - 66","Indonesia","Indonesia","UNKNOWN","30 NO. 521/NA","","30.0","Longliners","Longline","01/07/2015","07/10/2016"
"FV05657","Fishing","PERINTIS JAYA - 68","Indonesia","Indonesia","YEA. 4312","118 NO.1517/PD","","118.0","Longliners","Longline","26/06/2015","25/06/2016"
"FV06046","Fishing","PERINTIS JAYA - 88","Indonesia","Indonesia","UNKNOWN","30 NO.1286/PD","","30.0","Longliners","Longline","30/06/2015","22/09/2016"
"FV06135","Fishing","PERINTIS JAYA - 9","Indonesia","Indonesia","YEB 5462","23 NO. 451/NA","","23.0","Longliners","Longline","07/05/2015","05/08/2016"
"FV06147","Fishing","PERINTIS JAYA - 98","Indonesia","Indonesia","YEB. 5472","29 NO. 594/NA","","29.0","Longliners","Longline","03/03/2015","20/05/2016"
"FV05692","Fishing","PERINTIS JAYA - VII","Indonesia","Indonesia","YEA.4387","127 NO.2133/BC","","127.0","Longliners","Longline","20/10/2015","21/12/2016"
"FV04585","Fishing","PICO TRESMARES","Spain","Spain","EBYC","UNKNOWN","9098658","357.0","Longliners","Longline","01/01/2016","31/12/2017"
"FV04588","Fishing","PLAYA MUINO VELLO","Spain","Spain","ECBQ","UNKNOWN","9297632","340.2","Longliners","Longline","01/01/2016","31/12/2017"
"FV04496","Fishing","POLARIS","Portugal","Portugal","CUEX","L-2066-N","","412.0","Longliners","Longline","01/01/2008","31/12/2020"
"FV05613","Fishing","PREDATOR","New Zealand","New Zealand","ZM2416","90039","","22.0","Trollers","Troll","01/01/2016","31/12/2016"
"FV06286","Fishing","PRIMA UTAMA JAYA - I","Indonesia","Indonesia","YE 2148","28 NO. 2840/PPB","","28.0","Longliners","Longline","19/05/2015","23/06/2016"
"FV06287","Fishing","PRIMA UTAMA JAYA - II","Indonesia","Indonesia","YE 2149","28 NO. 2481/PPB","","28.0","Longliners","Longline","12/08/2015","23/10/2016"
"FV06280","Fishing","PRIMUS INDAH","Indonesia","Indonesia","YEB 5734","29 NO. 1139/PD","","29.0","Longliners","Longline","28/05/2015","04/07/2016"
"FV05094","Fishing","PRIMUS JAYA","Indonesia","Indonesia","YEA. 4207","86 NO. 2100/BC","","86.0","Longliners","Longline","16/10/2015","02/12/2016"
"FV06268","Fishing","PRIMUS JAYA - II","Indonesia","Indonesia","YEB 5717","30 NO. 1320/PD","","30.0","Longliners","Longline","14/12/2015","11/01/2017"
"FV04509","Fishing","PRINCIPE DAS MARES","Portugal","Portugal","CUPP3","PM-1218-C","","187.5","Longliners","Longline","01/01/2008","31/12/2020"
"FV04278","Fishing","PRINS WILLEM 1","South Africa","South Africa","ZR3372","CTA769","","164.4","Longliners","Longline","01/02/2016","31/01/2017"
"FV04590","Fishing","PUNTAL DE AGUETE","Spain","Spain","EBRS","UNKNOWN","9245990","234.0","Longliners","Longline","01/01/2016","31/12/2017"
"FV04007","Fishing","QUO VADIS","New Zealand","New Zealand","ZMA2759","9679","","21.0","Multipurpose vessels","Longline,Troll","01/01/2016","31/12/2016"
"FV06309","Fishing","RAMSES DOUS","Spain","Spain","EAOK","UNKNOWN","9166053","147.1","Longliners","Longline","01/01/2016","31/12/2017"
"FV06310","Fishing","RAYMI","Spain","Spain","EA3176","UNKNOWN","9024619","121.3","Longliners","Longline","01/01/2016","31/12/2017"
"FV00778","Fishing","REHUA","New Zealand","New Zealand","ZMRE","63301","9147784","2 483.0","Trawlers","Mid-water Trawl","01/01/2016","31/12/2016"
"FV06327","Fishing","REN HORNG DAR 68","Taiwan, Fishing Entity of","Taiwan, Fishing Entity of","BH3469","CT6-1469","9803314","324.0","Longliners","Longline","01/04/2016","30/09/2017"
"FV02655","Fishing","ROSE CROIX","New Zealand","New Zealand","ZM2091","63367","","40.0","Multipurpose vessels","Longline","01/01/2016","31/12/2016"
"FV05309","Fishing","RUEY SHENG 1","Taiwan, Fishing Entity of","Taiwan, Fishing Entity of","BZFV","CT6-1042","8648406","458.0","Longliners","Longline","01/04/2016","30/09/2017"
"FV00286","Fishing","RYOAN MARU 5","Japan","Japan","JPWV","1050","9204192","439.0","Longliners","Longline","01/04/2016","31/03/2017"
"FV00555","Fishing","RYOYOSHI MARU 8","Japan","Japan","JNQM","1030","9172911","379.0","Longliners","Longline","01/04/2016","31/03/2017"
"FV00693","Fishing","RYUSEI MARU 2","Japan","Japan","7LAQ","1308","8821216","379.0","Longliners","Longline","01/04/2016","31/03/2017"
"FV00692","Fishing","RYUSEI MARU 8","Japan","Japan","JHKN","1309","8708012","379.0","Longliners","Longline","01/04/2016","31/03/2017"
"FV04543","Fishing","SALAINO","Spain","Spain","EBRG","UNKNOWN","9245964","222.0","Longliners","Longline","01/01/2016","31/12/2017"
"FV04375","Fishing","SALT RIVER","Australia","Australia","UNKNOWN","P254","7320617","247.0","Multipurpose vessels","Unspecified Method","01/12/2015","30/11/2016"
"FV05942","Fishing","SAMUDERA PERKASA - I","Indonesia","Indonesia","YE. 5470","145 NO. 2520/BC","","145.0","Longliners","Longline","08/12/2015","08/11/2016"
"FV06103","Fishing","SAMUDRA AMERTA","Indonesia","Indonesia","YE. 7041","24 NO. 484/PD","","24.0","Longliners","Longline","12/11/2015","27/11/2016"
"FV05129","Fishing","SAMUDRA TUNA NUSANTARA - 01","Indonesia","Indonesia","YEA 5859","100 NO.850/PD","","100.0","Longliners","Longline","22/04/2015","13/05/2016"
"FV00774","Fishing","SAN DISCOVERY","New Zealand","New Zealand","ZMA2601","63165","8901523","1 899.0","Multipurpose vessels","Multiple Gear Types","01/01/2016","31/12/2016"
"FV00776","Fishing","SAN ENTERPRISE","New Zealand","New Zealand","ZMA3161","63755","8901420","1 899.0","Multipurpose vessels","Unspecified Method","01/01/2016","31/12/2016"
"FV00775","Fishing","SAN WAITAKI","New Zealand","New Zealand","ZMA3176","63722","8901468","1 899.0","Multipurpose vessels","Multiple Gear Types","01/01/2016","31/12/2016"
"FV03420","Fishing","SANDRA FAY","New Zealand","New Zealand","ZM9488","8463","","4.0","Longliners","Longline","01/01/2016","31/12/2016"
"FV00697","Fishing","SANEI MARU 1","Japan","Japan","7LVR","1277","8821280","379.0","Longliners","Longline","01/04/2016","31/03/2017"
"FV00698","Fishing","SANEI MARU 51","Japan","Japan","JGCF","1278","9311921","439.0","Longliners","Longline","01/04/2016","31/03/2017"
"FV00696","Fishing","SANEI MARU 8","Japan","Japan","JDMY","1276","9119957","379.0","Longliners","Longline","01/04/2016","31/03/2017"
"FV03196","Fishing","SANTA MARIA","New Zealand","New Zealand","ZM2781","64058","","72.0","Multipurpose vessels","Gillnet,Longline","01/01/2016","31/12/2016"
"FV03380","Fishing","SANTA ROSA","New Zealand","New Zealand","ZM6299","8246","","29.0","Multipurpose vessels","Multiple Gear Types","01/01/2016","31/12/2016"
"FV03413","Fishing","SAPPHIRE","New Zealand","New Zealand","ZM6339","8391","","40.0","Multipurpose vessels","Multiple Gear Types","01/01/2016","31/12/2016"
"FV06296","Fishing","SARDA","New Zealand","New Zealand","ZMG3161","901293","","80.0","Longliners","Unspecified Method","01/01/2016","31/12/2016"
"FV06053","Fishing","SATRIA NUGRAHA","Indonesia","Indonesia","YEB 5397","27 NO.371/NA","","27.0","Longliners","Longline","24/04/2015","16/06/2016"
"FV05725","Fishing","SAVANNAH","New Zealand","New Zealand","ZMA3822","9035","","33.0","Multipurpose vessels","Longline,Troll","01/01/2016","31/12/2016"
"FV04281","Fishing","SAXON","South Africa","South Africa","ZR4107","CT791","","269.4","Longliners","Longline","01/02/2016","31/01/2017"
"FV01340","Fishing","SAXON-S","Australia","Australia","UNKNOWN","LFB11747","","150.0","Multipurpose vessels","Unspecified Method","01/12/2015","30/11/2016"
"FV02347","Fishing","SEA HARVEST","New Zealand","New Zealand","ZM2928","4050","","61.0","Multipurpose vessels","Longline,Troll","01/01/2016","31/12/2016"
"FV05991","Fishing","SEA HUNTER","South Africa","South Africa","ZR8553","HTB301","","170.2","Longliners","Longline","01/02/2016","31/01/2017"
"FV01490","Fishing","SEA PRINCESS S","Australia","Australia","UNKNOWN","LXH","8104072","412.0","Multipurpose vessels","Unspecified Method","01/12/2015","30/11/2016"
"FV03874","Fishing","SEA PROPHET","New Zealand","New Zealand","ZM2283","900629","","11.0","Multipurpose vessels","Unspecified Method","01/01/2016","31/12/2016"
"FV01346","Fishing","SEATAS 3","Australia","Australia","UNKNOWN","O669","7901045","271.0","Multipurpose vessels","Unspecified Method","20/01/2016","30/11/2016"
"FV02508","Fishing","SEAWAY","New Zealand","New Zealand","ZM2172","5668","","34.0","Longliners","Longline","01/01/2016","31/12/2016"
"FV04612","Fishing","SEAWIN DIAMOND","South Africa","South Africa","ZR8025","CTA777","","151.0","Longliners","Longline","01/02/2016","31/01/2017"
"FV01493","Fishing","SEAWIN EMERALD","South Africa","South Africa","ZR7997","CTA780","","151.0","Longliners","Longline","01/02/2016","31/01/2017"
"FV04613","Fishing","SEAWIN SAPPHIRE","South Africa","South Africa","ZR8313","CTA757","","151.0","Longliners","Longline","01/02/2016","31/01/2017"
"FV00262","Fishing","SEIFUKU MARU 68","Japan","Japan","JRQF","1022","9036765","379.0","Longliners","Longline","01/04/2016","31/03/2017"
"FV06078","Fishing","SEIFUKU MARU 78","Japan","Japan","JPZG","1023","9262792","379.0","Longliners","Longline","01/04/2016","31/03/2017"
"FV00260","Fishing","SEIFUKU MARU 88","Japan","Japan","7JKM","1024","9634751","387.0","Longliners","Longline","01/04/2016","31/03/2017"
"FV06319","Fishing","SENTOSA JAYA - 02","Indonesia","Indonesia","YEB 5813","24 NO. 951/IA","","24.0","Longliners","Longline","30/09/2015","30/09/2016"
"FV06261","Fishing","SETIA MAKMUR","Indonesia","Indonesia","YEB 5043","26 NO. 1727/BC","","26.0","Longliners","Longline","03/03/2015","15/06/2016"
"FV05459","Fishing","SHANG FENG 3","Taiwan, Fishing Entity of","Taiwan, Fishing Entity of","BH3172","CT6-1172","8673140","473.0","Longliners","Longline","01/04/2016","30/09/2017"
"FV06329","Fishing","SHANG FU","Taiwan, Fishing Entity of","Taiwan, Fishing Entity of","BI2487","CT7-0487","8747226","696.0","Longliners","Longline","01/04/2016","30/09/2017"
"FV06083","Fishing","SHENG HAI 127","Taiwan, Fishing Entity of","Taiwan, Fishing Entity of","BI2286","CT7-0286","8674845","708.0","Longliners","Longline","01/04/2015","30/09/2016"
"FV04469","Fishing","SHIN SHUEN FAR 16","Taiwan, Fishing Entity of","Taiwan, Fishing Entity of","BG3667","CT5-1667","8749547","160.0","Longliners","Longline","01/04/2015","30/09/2016"
"FV05874","Fishing","SHIN SHUEN FAR 668","Taiwan, Fishing Entity of","Taiwan, Fishing Entity of","BG3694","CT5-1694","9627318","198.0","Longliners","Longline","01/04/2016","30/09/2017"
"FV05876","Fishing","SHIN SHUEN FAR 688","Taiwan, Fishing Entity of","Taiwan, Fishing Entity of","BG3733","CT5-1733","9691993","198.0","Longliners","Longline","01/04/2016","30/09/2017"
"FV05302","Fishing","SHIN SHUEN FAR 69","Taiwan, Fishing Entity of","Taiwan, Fishing Entity of","BG3676","CT5-1676","8749561","118.9","Longliners","Longline","01/04/2016","30/09/2017"
"FV06323","Fishing","SHIN SHUEN FAR 889","Taiwan, Fishing Entity of","Taiwan, Fishing Entity of","BH3452","CT6-1452","9787431","235.0","Longliners","Longline","01/04/2016","30/09/2017"
"FV05990","Fishing","SHOEI MARU 123","Japan","Japan","7JOL","T1035","9671735","439.0","Longliners","Longline","01/04/2016","31/03/2017"
"FV00332","Fishing","SHOEI MARU 88","Japan","Japan","JQFE","1034","9036715","409.0","Longliners","Longline","01/04/2016","31/03/2017"
"FV06212","Fishing","SHOFUKU MARU 18","Japan","Japan","7JQU","1038","9709843","439.0","Longliners","Longline","01/04/2016","31/03/2017"
"FV00324","Fishing","SHOFUKU MARU 38","Japan","Japan","JQGA","1039","9037549","418.0","Longliners","Longline","01/04/2016","31/03/2017"
"FV00323","Fishing","SHOFUKU MARU 58","Japan","Japan","JBPQ","1040","9135080","423.0","Longliners","Longline","01/04/2016","31/03/2017"
"FV00326","Fishing","SHOFUKU MARU 8","Japan","Japan","JCNJ","1037","9254123","409.0","Longliners","Longline","01/04/2016","31/03/2017"
"FV00327","Fishing","SHOFUKU MARU 88","Japan","Japan","JRGW","1042","8921121","391.0","Longliners","Longline","01/04/2016","31/03/2017"
"FV00264","Fishing","SHOUN MARU 151","Japan","Japan","JPYK","1011","9109469","319.0","Longliners","Longline","01/04/2016","31/03/2017"
"FV00265","Fishing","SHOUN MARU 51","Japan","Japan","JRMX","1010","9011325","319.0","Longliners","Longline","01/04/2016","31/03/2017"
"FV00041","Fishing","SHUANG LIAN","Taiwan, Fishing Entity of","Taiwan, Fishing Entity of","BH2963","CT6-0963","8749066","420.0","Longliners","Longline","01/04/2016","30/09/2017"
"FV06256","Fishing","SHUN FENG 12","Taiwan, Fishing Entity of","Taiwan, Fishing Entity of","BH3442","CT6-1442","9761114","260.0","Longliners","Longline","01/04/2016","30/09/2017"
"FV04022","Fishing","SHUU CHANG 6","Taiwan, Fishing Entity of","Taiwan, Fishing Entity of","BH2962","CT6-0962","8822739","426.4","Longliners","Longline","01/04/2016","30/09/2017"
"FV00066","Fishing","SHYANG CHYANG 8","Taiwan, Fishing Entity of","Taiwan, Fishing Entity of","BH3085","CT6-1085","8749042","448.0","Longliners","Longline","01/04/2016","30/09/2017"
"FV00045","Fishing","SHYANG CHYANG 88","Taiwan, Fishing Entity of","Taiwan, Fishing Entity of","BH2983","CT6-0983","8749054","437.4","Longliners","Longline","01/04/2016","30/09/2017"
"FV06328","Fishing","SHYANG CHYANG 888","Taiwan, Fishing Entity of","Taiwan, Fishing Entity of","BI2475","CT7-0475","8649046","674.0","Longliners","Longline","01/04/2016","30/09/2017"
"FV04597","Fishing","SIEMPRE SOCIO","Spain","Spain","EBWQ","UNKNOWN","9245976","192.0","Longliners","Longline","01/01/2016","31/12/2017"
"FV04438","Fishing","SILVER IMAGE","Australia","Australia","UNKNOWN","O530","","40.0","Multipurpose vessels","Unspecified Method","01/12/2015","30/11/2016"
"FV06289","Fishing","SIMOAN","Australia","Australia","VHS6267","M324","","247.0","Purse seiners","Purse Seine","03/12/2015","30/11/2016"
"FV05878","Fishing","SIN HUA FONG 16","Taiwan, Fishing Entity of","Taiwan, Fishing Entity of","BG3734","CT5-1734","9727754","198.0","Longliners","Longline","01/04/2016","30/09/2017"
"FV06257","Fishing","SIN HUA FONG 168","Taiwan, Fishing Entity of","Taiwan, Fishing Entity of","BH3445","CT6-1445","9775787","238.0","Longliners","Longline","01/04/2016","30/09/2017"
"FV06262","Fishing","SINAR MAS 1","Indonesia","Indonesia","YEB 5138","28 NO. 864/PD","","28.0","Longliners","Longline","10/08/2015","25/11/2016"
"FV05869","Fishing","SINMETRA - 8","Indonesia","Indonesia","YE.5458","130 NO. 1076/BC","","130.0","Longliners","Longline","18/09/2015","21/11/2016"
"FV01355","Fishing","SOUTHERN CONDOR","Australia","Australia","UNKNOWN","LRO","","126.0","Multipurpose vessels","Unspecified Method","01/12/2015","30/11/2016"
"FV04283","Fishing","SOUTHERN CRUSADER","South Africa","South Africa","ZR6053","CTA140","","224.6","Longliners","Longline","01/02/2016","31/01/2017"
"FV05705","Fishing","SOUTHWEST SEAHAWK","South Africa","South Africa","ZR7746","CTA790","","0.0","Longliners","Longline","01/02/2016","31/01/2017"
"FV03414","Fishing","SOVEREIGN","New Zealand","New Zealand","ZM7040","8392","","25.0","Multipurpose vessels","Unspecified Method","01/01/2016","31/12/2016"
"FV06266","Fishing","ST BERNADETTE","Australia","Australia","VK4626","UPP","","45.0","Trollers","Troll","10/03/2016","30/11/2016"
"FV03496","Fishing","STELLA B","New Zealand","New Zealand","ZM2766","900331","","78.0","Multipurpose vessels","Unspecified Method","01/01/2016","31/12/2016"
"FV05764","Fishing","STRIKE FORCE","New Zealand","New Zealand","ZMG 2682","901137","","50.0","Longliners","Longline","01/01/2016","31/12/2016"
"FV06301","Fishing","SUMBER REJEKI - I","Indonesia","Indonesia","YEB 5809","58 NO. 1789/PD","","58.0","Longliners","Longline","03/08/2015","02/08/2016"
"FV06338","Fishing","SUMBER REZEKI - 21","Indonesia","Indonesia","YEB 5406","59 NO. 1735/PD","","59.0","Longliners","Longline","04/01/2016","12/01/2017"
"FV00455","Fishing","SUMIYOSHI MARU 10","Japan","Japan","JEYM","1172","9152222","499.0","Longliners","Longline","01/04/2016","31/03/2017"
"FV00465","Fishing","SUMIYOSHI MARU 75","Japan","Japan","JQZA","1180","9234238","499.0","Longliners","Longline","01/04/2016","31/03/2017"
"FV05449","Fishing","SURYA TERANG - 88","Indonesia","Indonesia","YEB.4208","147 NO. 1225/PD","","147.0","Longliners","Longline","22/04/2015","13/05/2016"
"FV05735","Fishing","SURYA TERBIT - 109","Indonesia","Indonesia","YEA 4087","64 NO. 1530/PD","","64.0","Longliners","Longline","16/10/2015","30/09/2016"
"FV05585","Fishing","SURYA TERBIT 168","Indonesia","Indonesia","YEA 5638","135 NO.29/NA","","135.0","Longliners","Longline","21/05/2015","07/08/2016"
"FV05586","Fishing","SURYA TERBIT 169","Indonesia","Indonesia","YEA. 5371","144 NO. 715/PD","","144.0","Longliners","Longline","20/03/2015","09/06/2016"
"FV05314","Fishing","SWELLENDAM","South Africa","South Africa","ZR4004","HTB 15","","78.0","Longliners","Longline","01/02/2016","31/01/2017"
"FV04462","Fishing","SYZYGY SEA","Australia","Australia","UNKNOWN","O531","","73.0","Multipurpose vessels","Unspecified Method","01/12/2015","30/11/2016"
"FV04117","Fishing","TA CHUN 101","Taiwan, Fishing Entity of","Taiwan, Fishing Entity of","BI2069","CT7-0069","8749286","712.3","Longliners","Longline","01/04/2016","30/09/2017"
"FV06038","Fishing","TACOMA","Australia","Australia","UNKNOWN","P38","5348380","105.0","Trollers","Troll","15/02/2016","30/11/2016"
"FV04599","Fishing","TAFIRA","Spain","Spain","EBZP","UNKNOWN","5348512","242.5","Longliners","Longline","01/01/2016","31/12/2017"
"FV00605","Fishing","TAIWA MARU 8","Japan","Japan","JNJY","1259","9185384","379.0","Longliners","Longline","01/04/2016","31/03/2017"
"FV00412","Fishing","TAIYO MARU 37","Japan","Japan","JKRY","1075","8717192","379.0","Longliners","Longline","01/04/2016","31/03/2017"
"FV00532","Fishing","TAIYO MARU 38","Japan","Japan","JEKL","1224","9146754","408.0","Longliners","Longline","01/04/2016","31/03/2017"
"FV00382","Fishing","TAIYO MARU 58","Japan","Japan","JRII","T1225","8921119","379.0","Longliners","Longline","01/04/2016","31/03/2017"
"FV00658","Fishing","TAIYO MARU 8","Japan","Japan","JDHW","1289","9057977","379.0","Longliners","Longline","01/04/2016","31/03/2017"
"FV00536","Fishing","TAIYO MARU 88","Japan","Japan","JIVV","1290","9036703","691.0","Longliners","Longline","01/04/2016","31/03/2017"
"FV00411","Fishing","TAIYOU MARU 11","Japan","Japan","JMSH","1078","8921133","379.0","Longliners","Longline","01/04/2016","31/03/2017"
"FV04600","Fishing","TALASA","Spain","Spain","ECBN","UNKNOWN","9339210","207.0","Longliners","Longline","01/01/2016","31/12/2017"
"FV00288","Fishing","TATSU MARU 68","Japan","Japan","JCGP","1048","8944147","379.0","Longliners","Longline","01/04/2016","31/03/2017"
"FV03241","Fishing","TE AROHA","New Zealand","New Zealand","ZM2809","70547","","50.0","Trawlers","Unspecified Method","01/01/2016","31/12/2016"
"FV02383","Fishing","TE TONGA","New Zealand","New Zealand","ZM2044","4362","","52.0","Multipurpose vessels","Unspecified Method","01/01/2016","31/12/2016"
"FV01509","Fishing","TEEPOOKANA","New Zealand","New Zealand","ZMG2258","900986","","40.0","Multipurpose vessels","Longline,Troll","01/01/2016","31/12/2016"
"FV06196","Fishing","TELUK BAKAU - 8","Indonesia","Indonesia","YEB 5526","29 NO. 1650/PD","","29.0","Longliners","Longline","11/07/2015","30/08/2016"
"FV04003","Fishing","TEMPEST","New Zealand","New Zealand","ZMA3693","96127","","39.0","Multipurpose vessels","Multiple Gear Types","01/01/2016","31/12/2016"
"FV02532","Fishing","THELMA C","New Zealand","New Zealand","ZM5621","5985","","33.0","Multipurpose vessels","Longline,Troll","01/01/2016","31/12/2016"
"FV02371","Fishing","THELMA G","New Zealand","New Zealand","ZM5640","4133","","48.5","Multipurpose vessels","Longline,Troll","01/01/2016","31/12/2016"
"FV02638","Fishing","TIROHIA","New Zealand","New Zealand","ZM4711","63237","","27.0","Trawlers","Mid-water Trawl","01/01/2016","31/12/2016"
"FV00451","Fishing","TOEI MARU 6","Japan","Japan","JFZQ","1170","8909745","439.0","Longliners","Longline","01/04/2016","31/03/2017"
"FV02102","Fishing","TRIAL B","New Zealand","New Zealand","ZM2376","11434","","47.0","Multipurpose vessels","Longline,Troll","01/01/2016","31/12/2016"
"FV06222","Fishing","TRIKA SAMUDRA","Indonesia","Indonesia","YEA. 4466","101 NO. 2331/BC","","101.0","Longliners","Longline","06/01/2016","19/03/2017"
"FV02055","Fishing","TRINITY I","New Zealand","New Zealand","ZM7223","10377","","47.0","Multipurpose vessels","Unspecified Method","01/01/2016","31/12/2016"
"FV02759","Fishing","TRITON","New Zealand","New Zealand","ZM5634","63852","","44.0","Longliners","Longline","01/01/2016","31/12/2016"
"FV02542","Fishing","TUI","New Zealand","New Zealand","ZM4222","6110","","52.0","Multipurpose vessels","Multiple Gear Types","01/01/2016","31/12/2016"
"FV06281","Fishing","TUNA JAYA 111","Indonesia","Indonesia","YEA 4090","64 NO. 1533/PD","","64.0","Longliners","Longline","23/06/2015","01/06/2016"
"FV06194","Fishing","TUNA SEGAR - 8","Indonesia","Indonesia","YEC 4069","30 NO. 226/BB","","30.0","Longliners","Longline","18/11/2015","29/11/2016"
"FV01360","Fishing","TUNAMOON","Australia","Australia","VJ2224","LFB13068","","45.0","Longliners","Longline","03/03/2016","30/11/2016"
"FV04384","Fishing","TWO BOYS","South Africa","South Africa","ZR4512","CT895","","149.8","Longliners","Longline","01/02/2016","31/01/2017"
