Flag,Vessel_type,Vessel_name,Vessel_id,Callsign,Flag_registration_num,Weight_gross,Length,Start_date,End_date
Japan,Longline,KATSUEI MARU NO.8,35625,JJWA,KG1880,439,60.27,1-Jul-11,30-Jun-12
Japan,Longline,SHOKI MARU NO.8,35655,,ON20988,19,20,18-Aug-11,17-Aug-12
Japan,Longline,KO YU MARU NO.2,35674,JRVX,133092,619,55.45,4-Oct-11,3-Oct-12
Japan,Longline,KO YU MARU NO.1,35676,JRRY,131898,619,55.45,3-Aug-11,2-Aug-12
Japan,Longline,KO YU  MARU NO.3,35677,JGER,131118,618,55.45,5-Aug-11,4-Aug-12
Japan,Longline,KINEI MARU NO.158,35696,7JCB,IT1605,439,58.57,30-Aug-11,29-Aug-12
Japan,Longline,RYOAN MARU NO.5,35790,JPWV,MG11955,439,58.57,1-Jul-11,30-Jun-12
Japan,Single Purse Seine,FUKUICHI MARU NO.83,35803,7JEG,S011252,1788,79.61,1-Jul-11,30-Jun-12
Japan,Longline,FUKUYO MARU NO.58,35822,JQDZ,MG11833,379,55.16,14-Jul-11,13-Jul-12
Japan,Longline,YUSHO MARU NO.7,35854,JEVH,S011219,379,54.74,15-Jul-11,14-Jul-12
Japan,Longline,CHOKYU MARU NO.18,35882,JEYT,K01801,432,56.7,1-Jul-11,30-Jun-12
Japan,Single Purse Seine,WAKABA MARU NO.7,35889,7JFV,SO11253,1788,79.61,1-Jul-11,30-Jun-12
Japan,Longline,MATSUEI  MARU NO.58,35893,7LJF,KG1601,397,52.93,1-Jul-11,30-Jun-12
Japan,Longline,CHOKYU MARU NO.58,35898,JENL,KO1928,499,63.19,1-Jul-11,30-Jun-12
Japan,Longline,GOEI MARU NO.8,35900,JFKH,KO1851,398,56.17,1-Jul-11,30-Jun-12
Japan,Longline,FUKUTOKU MARU NO.38,35903,JBSX,MG11938,379,56.17,1-Jul-11,30-Jun-12
Japan,Longline,CHOKYU MARU NO.78,35910,JGMN,KO1955,379,54.6,1-Jul-11,30-Jun-12
Japan,Longline,TAIYO MARU NO.37,35916,JKRY,FS1555,379,54.05,1-Jul-11,30-Jun-12
Japan,Longline,CHOKYU MARU NO.8,35933,JFPG,KO1865,499,63.19,1-Jul-11,30-Jun-12
Japan,Longline,KAIYO MARU NO.58,35964,JDIS,AM1714,409,56.96,1-Jul-11,30-Jun-12
Japan,Single Purse Seine,FUJI MARU NO.2,35978,7JGM,SO11260,1788,79.61,1-Jul-11,30-Jun-12
Japan,Longline,KAIGATA MARU NO.81,35999,JNBV,MG11632,409,55.8,1-Jul-11,30-Jun-12
Japan,Longline,SHOJIN MARU NO.38,36056,JPQT,TK11365,439,56.17,5-Aug-11,4-Aug-12
Japan,Fish Carrier,TAIHO MARU,36061,7JDG,140770,3803,98.28,8-Sep-11,7-Sep-12
Japan,Longline,GOEI MARU NO.38,36076,JPVS,KO1836,409,56.17,13-Sep-11,12-Sep-12
Japan,Longline,KAISEI MARU NO.1,36096,JFHT,KO1821,379,56.04,23-Jan-12,22-Jan-13
Japan,Longline,FUKUKYU MARU NO.38,36105,JIZW,SO11101,409,56.7,20-Dec-11,19-Dec-12
Japan,Longline,KAISEI MARU NO.8,36165,JCMK,S01-1241,409,56.08,2-May-11,1-May-12
Liberia,Fish Carrier,FRIO HAMBURG,36249,A8UV6,14565,4988,124.7,29-Nov-11,28-Nov-12
Malta,Fish Carrier,NOVA CALEDONIA,33596,9HIH5,5416,4964,124.69,24-May-11,23-May-12
Malta,Fish Carrier,SEIN STAR,35860,9HA2058,8319029,3505,99.02,1-Jul-11,30-Jun-12
Marshall Islands,Single Purse Seine,MARSHALLS 201,34105,V7CN4,60004,1096,70.46,11-Jul-11,10-Jul-12
Marshall Islands,Single Purse Seine,KOO'S 107,34106,V7CN5,60005,1100,72,3-Jul-11,2-Jul-12
Marshall Islands,Fish Carrier,SALTLAKE,34311,V7NC5,2941,3437,96.78,5-Jul-11,4-Jul-12
Marshall Islands,Fish Carrier,POHAH NO.1,34741,V7NP8,2996,4261,115.9,14-Sep-11,13-Sep-12
Marshall Islands,Single Purse Seine,KOO'S 108,34974,V7EF3,60006,1100,72,3-Jul-11,2-Jul-12
Marshall Islands,Single Purse Seine,KOO'S 101,35335,V7HB9,60007,1152,72,22-Jul-11,21-Jul-12
Marshall Islands,Single Purse Seine,KOO'S 102,35339,V7HC2,60008,1152,72,3-Jul-11,2-Jul-12
Marshall Islands,Fish Carrier,PHAROSTAR,35406,V7MT7,2899,4490,120.75,1-Jul-11,30-Jun-12
Marshall Islands,Fish Carrier,AMAGI,35445,V7NH7,2960,2782,95.95,4-Jul-11,3-Jul-12
Marshall Islands,Fish Carrier,LAKE SUCCESS,35535,V7NO8,2989,1884,85.07,1-Jul-11,30-Jun-12
Marshall Islands,Longline,SLC 721,35638,V7NT4,60011,133,29.9,1-Jul-11,30-Jun-12
Marshall Islands,Longline,SLC 722,35639,V7NT5,60012,133,29.9,5-Aug-11,4-Aug-12
Marshall Islands,Longline,SLC 723,35640,V7NT6,60013,133,29.29,21-Sep-11,20-Sep-12
Marshall Islands,Longline,SLC 725,35641,V7NT7,60014,133,29.29,1-Jul-11,30-Jun-12
Marshall Islands,Single Purse Seine,LOJET,35839,V7RB4,60015,2109,79.8,1-Jul-11,30-Jun-12
Marshall Islands,Single Purse Seine,LOMETO,36044,V7TQ8,60016,1344,61.85,5-Jul-11,4-Jul-12
Marshall Islands,Single Purse Seine,MARSHALLS 202,36050,V7TX3,60017,1517,70.59,11-Jul-11,10-Jul-12
Marshall Islands,Single Purse Seine,MARSHALLS 203,36060,V7TX4,60018,1517,70.59,5-Aug-11,4-Aug-12
Marshall Islands,Single Purse Seine,LOMALO,36063,V7UB4,60019,1344,61.85,13-Aug-11,12-Aug-12
Marshall Islands,Bunker,B.SKY,36112,V7UW6,4146,3978,105.5,6-Jan-12,5-Jan-13
Marshall Islands,Bunker,B.ACE,36132,V7VL4,4149,3978,105.5,5-Feb-11,4-Feb-12
Marshall Islands,Bunker,B.ACE,36132,V7VL4,4149,3978,105.5,5-Feb-12,4-Feb-13
New Zealand,Single Purse Seine,CAPT. M.J.SOUZA,4507,ZMAS,876285,1468,68.13,22-Jul-11,21-Jul-12
New Zealand,Single Purse Seine,OCEAN BREEZE,19653,ZMOB,876318,1355,61,1-Jul-11,30-Jun-12
New Zealand,Single Purse Seine,SAN NANUMEA,25874,ZMSN,876342,1678,77.16,1-Jul-11,30-Jun-12
New Zealand,Single Purse Seine,SAN NIKUNAU,26161,ZMNK,876339,1957,79.69,1-Jul-11,30-Jun-12
Panama,Fish Carrier,WIN UNI,27896,3EFL4,31886-06-B,2910,104.3,19-Oct-11,18-Oct-12
Panama,Fish Carrier,WIN MASTER,27912,H8ZV,30771-05-C,3110,109.6,1-Jul-11,30-Jun-12
Panama,Fish Carrier,FONG KUO NO.807,29801,HOFJ,40482-09,2839,97.4,1-Jul-11,30-Jun-12
Panama,Fish Carrier,WIN SHING 1,30262,3FWL6,23722-97-C,3506,114.28,1-Jul-11,30-Jun-12
Panama,Fish Carrier,VIVA 106,31591,3EGN7,1843889E,3574,99.02,1-Jul-11,30-Jun-12
Panama,Fish Carrier,YUNG DA FA 102,32311,3FEJ5,22331-95-E,2829,93.88,1-Jul-11,30-Jun-12
Panama,Fish Carrier,SANWA FONTAINE,32868,3FMK4,2200295C,3260,92.21,1-Jul-11,30-Jun-12
Panama,Fish Carrier,CHAN HAN 6,33072,H9FJ,30403-05-A,3835,103.73,3-Nov-11,2-Nov-12
Panama,Fish Carrier,WIN SHENG,33199,3FWH6,23696-97-C,4177,122.46,1-Jul-11,30-Jun-12
Panama,Fish Carrier,MABAH,33424,3FSC4,2211695D,4457,120.75,13-Dec-11,12-Dec-12
Panama,Fish Carrier,ANGEL 1,33477,HOYH,40129-09-A,1490,84.64,26-Jul-11,25-Jul-12
Panama,Bunker,FONG SEONG 888,33586,3FTQ6,23477-97-C,1734,75.55,1-Jul-11,30-Jun-12
Panama,Fish Carrier,COOL GIRL,33708,3FWE3,2124394E,5228,116.57,22-Jul-11,21-Jul-12
Panama,Fish Carrier,FRIO CANARIAS,33933,3FZW3,353019000,4109,102.81,17-Nov-11,16-Nov-12
Panama,Fish Carrier,HUA FU 107,33992,3FDZ4,4174010,4964,124.7,1-Jul-11,30-Jun-12
Panama,Fish Carrier,OSTROV BERINGA,34178,3FHP2,41294-PEXT,5757,124.5,1-Jul-11,30-Jun-12
Panama,Fish Carrier,KENTA MARU,34277,3FXQ4,2274096A,2856,91.02,30-Jun-11,29-Jun-12
Panama,Fish Carrier,DALNEGORSK,34472,3EPS8,3381308,5286,115,20-Jul-11,19-Jul-12
Panama,Fish Carrier,HAI FENG NO.648,34484,3EHA6,1766888F,4936,124.7,27-Sep-11,26-Sep-12
Panama,Fish Carrier,KHOROL,34553,3EPT2,33818-08,5286,115,1-Jul-11,30-Jun-12
Panama,Fish Carrier,MIYABI,34684,3FTI9,26679-00-B,1890,83.46,26-May-11,25-May-12
Panama,Fish Carrier,SEA MARK,34770,3FUJ9,41692-PEXT,5321,125.67,11-Jul-11,10-Jul-12
Panama,Fish Carrier,NEW HAYATSUKI,34892,3EZC7,41482PEXT,4287,116.2,31-Jan-12,30-Jan-13
Panama,Fish Carrier,YUNG DA FA 108,34895,3EAX9,19877-91-D,5024,117.81,15-Dec-11,14-Dec-12
Panama,Fish Carrier,EITA MARU,35121,HPLA,2973304A,2581,85.21,30-Jun-11,29-Jun-12
Panama,Fish Carrier,SYOTA MARU,35372,H3QV,29226PEXT4,4491,120.75,9-Aug-11,8-Aug-12
Panama,Fish Carrier,KAI CHENG,35404,3FAA6,42457-PEXT-F,3065,98.53,25-Oct-11,24-Oct-12
Panama,Fish Carrier,SALGIR,35588,3FYM4,9142289,3767,100.72,5-Jul-11,4-Jul-12
Panama,Fish Carrier,ANGARA,35604,3FVD,9136890,3767,100.72,1-Jul-11,30-Jun-12
Panama,Fish Carrier,FONG KUO NO.819,35648,3FCY3,40769-PEXT,5131,115,15-Jul-11,14-Jul-12
Panama,Fish Carrier,MONTESOL,35694,3FRZ5,7721067,2689,96.45,3-Jul-11,2-Jul-12
Panama,Fish Carrier,WIN MAX NO.3,35741,H8ON,30251-04-A,5292,123.42,1-Jul-11,30-Jun-12
Panama,Fish Carrier,SURUGA 1,35793,H3OD,2734100CH,2596,88.94,1-Jul-11,30-Jun-12
Panama,Fish Carrier,KURIKOMA,35819,3FTS6,2348697C,4177,114.82,7-Apr-11,6-Apr-12
Panama,Fish Carrier,EURO STAR,35827,3EJQ3,3311007,4364,109,26-Jul-11,25-Jul-12
Panama,Fish Carrier,TIARA 108,35836,3FQH9,4192710,4361,109,3-Aug-11,2-Aug-12
Panama,Fish Carrier,FRIO SPAIN,35837,HOYR,29252-03-B,5323,125.67,7-Jun-11,6-Jun-12
Panama,Fish Carrier,HARIMA 2,35851,H3CT,2695700B,4490,120.75,31-Aug-11,30-Aug-12
Panama,Fish Carrier,JONATHAN ACE,35861,3FPM2,4094909A,3520,91.41,1-Jul-11,30-Jun-12
